"X","Y","D_epicenter(km)","Geo_zone","Footprint(m2)","Num_floors","Construction_year","Building_type","AB 0s","AB -1s","AB 0.05s","AB 0.1s","AB 0.5s","AB 1s","AB 1.5s","AB 2s","AB 3s","AB 4s","Damage_state"
7477996.072,4842368.092,4.11,"z5",59,1,1988,"bt6.",0.246827,11.0017,0.356199,0.546898,0.220558,0.0714987,0.0354637,0.0211903,0.00949975,0.00552356,"ds0."
7476882.608,4842323.588,4.12,"z8",57,1,1989,"bt6.",0.238388,12.4818,0.333263,0.500171,0.242345,0.084885,0.0426818,0.0260519,0.0117591,0.00683457,"ds0."
7477427.012,4842301.616,4.12,"z8",42,2,1989,"bt6.",0.238388,12.4818,0.333263,0.500171,0.242345,0.084885,0.0426818,0.0260519,0.0117591,0.00683457,"ds0."
7476477.672,4842387.204,4.12,"z5",63,2,2010,"bt6.",0.24662,10.9938,0.355874,0.546393,0.22041,0.0714569,0.0354438,0.0211783,0.0094944,0.00552043,"ds0."
7476333.504,4842410.3,4.13,"z5",49,2,1991,"bt6.",0.246414,10.986,0.355549,0.545888,0.220262,0.0714152,0.035424,0.0211663,0.00948905,0.00551729,"ds0."
7474719.14,4843213.192,4.13,"z8",43,2,1989,"bt6.",0.238205,12.4735,0.332977,0.499745,0.242204,0.0848415,0.0426605,0.0260383,0.0117529,0.00683082,"ds0."
7477948.76,4842341.86,4.13,"z2",75,2,2003,"bt6.",0.237474,12.5223,0.331662,0.497113,0.242584,0.085282,0.0429156,0.0262278,0.0118445,0.00688623,"ds0."
7477357.33,4842258.5201,4.16,"z2",48,2,1997,"bt6.",0.236929,12.4973,0.330808,0.495844,0.242163,0.085151,0.0428515,0.0261867,0.0118256,0.00687489,"ds0."
7474815.556,4843068.244,4.19,"z5",49,2,2003,"bt6.",0.245174,10.9388,0.353596,0.542854,0.21937,0.071164,0.0353046,0.0210943,0.00945686,0.00549843,"ds0."
7474802.776,4843067.344,4.2,"z5",61,1,1992,"bt6.",0.244967,10.9309,0.35327,0.542348,0.219221,0.071122,0.0352846,0.0210823,0.00945148,0.00549528,"ds0."
7478061.54,4842288.048,4.2,"z2",55,2,1990,"bt6.",0.236202,12.464,0.329668,0.494149,0.241601,0.0849758,0.0427658,0.0261317,0.0118004,0.00685972,"ds0."
7474767.796,4843057.704,4.22,"z5",50,1,1990,"bt6.",0.244553,10.9151,0.352618,0.541334,0.218923,0.071038,0.0352447,0.0210581,0.00944071,0.00548897,"ds0."
7478001.372,4842253.02,4.22,"z2",45,1,1997,"bt6.",0.235838,12.4472,0.329098,0.493301,0.241319,0.084888,0.0427228,0.0261042,0.0117878,0.00685212,"ds0."
7473948.648,4843878.876,4.23,"z5",69,2,1989,"bt6.",0.244346,10.9072,0.352291,0.540828,0.218774,0.0709959,0.0352247,0.0210461,0.00943532,0.00548581,"ds0."
7477010.412,4842193.264,4.24,"z2",49,2,2002,"bt6.",0.235473,12.4305,0.328527,0.492452,0.241036,0.0848001,0.0426798,0.0260766,0.0117752,0.0068445,"ds0."
7477067.625,4842179.1401,4.25,"z2",52,2,2000,"bt6.",0.235291,12.4221,0.328241,0.492027,0.240895,0.0847561,0.0426582,0.0260628,0.0117688,0.00684069,"ds0."
